iter	RMSE
0	7136.853611
1	5433.013366
2	4474.145476
3	3757.5909
4	3285.845959
5	3069.56265
6	2913.030718
7	2805.193184
8	2620.907859
9	2556.199464
10	2382.532179
11	2365.776232
12	2351.320625
13	2338.839551
14	2328.053159
15	2203.823059
16	2194.428676
17	2099.602087
18	2039.612717
19	2032.623932
20	2025.796285
21	2020.546348
22	1955.830269
23	1920.069189
24	1880.172843
25	1875.874341
26	1872.160304
27	1838.663673
28	1785.831525
29	1755.53533
30	1703.472487
31	1667.948445
32	1649.684416
33	1612.98637
34	1611.286473
35	1609.800294
36	1591.378834
37	1575.476865
38	1572.298146
39	1571.309079
40	1523.221697
41	1522.519173
42	1514.558912
43	1474.532347
44	1458.119771
45	1452.828999
46	1452.430994
47	1452.074753
48	1440.288987
49	1427.578891
50	1419.476973
51	1404.281787
52	1385.759487
53	1385.391805
54	1385.079475
55	1376.667723
56	1356.51607
57	1350.377068
58	1311.954868
59	1299.386997
60	1275.80512
61	1261.130731
62	1242.876
63	1233.092339
64	1226.390523
65	1220.95192
66	1219.593639
67	1204.178004
68	1203.017794
69	1194.284933
