iter	Passed	Remaining
0	62	62426
1	62	31092
2	62	20933
3	63	15746
4	64	12755
5	65	10776
6	65	9334
7	66	8204
8	66	7340
9	66	6615
10	68	6120
11	68	5630
12	70	5322
13	70	4961
14	70	4647
15	71	4372
16	71	4129
17	71	3914
18	72	3729
19	73	3623
20	74	3479
21	75	3343
22	75	3208
23	75	3080
24	76	2971
25	76	2862
26	76	2765
27	77	2684
28	77	2600
29	78	2522
30	78	2448
31	78	2380
32	79	2315
33	79	2256
34	80	2221
35	81	2174
36	81	2129
37	82	2076
38	82	2031
39	83	2015
40	84	1975
41	84	1933
42	84	1890
43	85	1852
44	85	1819
45	85	1781
46	86	1754
47	86	1719
48	87	1689
49	87	1665
50	88	1648
51	89	1639
52	90	1613
53	90	1587
54	91	1566
55	92	1557
56	93	1552
57	93	1526
58	94	1504
59	95	1500
60	96	1486
61	97	1472
62	97	1455
63	98	1440
64	98	1422
65	99	1408
66	100	139367	100	1375
68	100	1360
69	101	1349
70	101	1331
71	102	1317
72	102	1302
73	103	1289
74	103	1276
75	104	1266
76	105	1258
77	105	1246
78	105	1233
79	106	1227
80	107	1215
81	107	1203
82	107	1191
83	108	1179
84	108	1167
85	108	1156
86	109	1146
87	109	1139
88	110	1131
89	110	1121
90	111	1110
991	112	1106
92	112	1097993	113	1094
94	114	109095	115	1085
96	116	1081
97	117	1079
98	118	1074
99	118	1066
100	118	1057
101	119	1050
102	119	1044
103	120	1039
104	121	1034
105	121	1026
106	121	1018
107	122	1010
108	122	1002
109	122	994
110	123	987
111	123	980
112	123	972
113	124	965
114	124	958
115	124	951
116	125	944
117	125	938
118	125	931
119	126	925
120	126	918
121	127	918
122	128	916
123	129	913
124	130	911
125	130	908
126	131	904
127	132	899
128	132	894
129	132	889
130	134	894
131	135	889
132	136	887
133	136	882
134	136	877
135	137	872
136	138	870
137	138	865
138	140	870
139	141	866
140	141	861
141	141	856
142	142	851
143	142	846
144	143	843
145	143	840
146	144	838
147	145	835
148	146	834
149	146	832
150	147	829
151	149	831
152	149	829
153	150	827
154	151	825
155	152	827
156	154	827
157	157	837
158	158	837
159	162	850
160	163	850
161	175	908
162	177	908
163	177	904
164	177	899
165	178	894
166	178	889
167	178	884
168	178	879
169	179	875
170	179	870
171	179	866
172	180	861
173	184	875
174	187	884
175	192	900
176	205	954
177	206	951
178	208	957
179	210	957
180	211	958
181	214	965
182	215	960
183	215	956
184	215	951
185	216	946
186	216	941
187	216	936
188	217	932
189	217	928
190	218	923
191	218	919
192	218	914
193	219	910
194	219	905
195	219	901
196	220	896
197	220	892
198	220	888
199	220	883
200	221	878
201	221	874
202	221	870
203	222	866
204	222	862
205	222	858
206	222	854
207	223	852
208	224	848
209	224	844
210	224	840
211	225	836
212	225	832
213	225	828
214	226	825
215	226	821
216	226	817
217	226	814
218	227	810
219	227	806
220	227	803
221	228	799
222	228	796
223	228	792
224	229	789
225	229	786
226	229	782
227	230	779
228	230	775
229	230	771
230	230	768
231	231	765
232	231	762
233	231	758
234	232	755
235	232	752
236	232	749
237	233	746
238	233	743
239	233	739
240	233	736
241	234	733
242	234	730
243	234	727
244	235	724
245	235	722
246	235	719
247	236	716
248	236	713
249	236	710
250	237	707
251	237	704
252	237	701
253	238	699
254	238	696
255	238	693
256	239	690
257	239	688
258	239	685
259	239	682
260	240	680
261	240	677
262	240	675
263	241	672
264	241	669
265	241	667
266	242	664
267	242	662
268	242	659
269	243	657
270	243	654
271	243	652
272	244	649
273	244	647
274	244	645
275	245	642
276	245	640
277	245	637
278	245	635
279	246	633
280	246	630
281	246	628
282	247	626
283	247	624
284	247	621
285	248	619
286	248	617
287	248	615
288	249	612
289	249	610
290	249	608
291	250	606
292	250	604
293	250	601
294	250	599
295	251	597
296	251	595
297	253	596
298	253	595
299	254	594
300	255	592
301	255	590
302	255	588
303	255	586
304	256	583
305	256	581
306	256	579
307	257	577
308	257	575
309	257	573
310	258	571
311	258	569
312	258	567
313	259	566
314	259	564
315	259	562
316	260	560
317	260	558
318	260	556
319	260	554
320	261	552
321	261	550
322	261	548
323	262	547
324	262	545
325	262	543
326	263	541
327	263	539
328	263	537
329	264	536
330	264	534
331	264	532
332	265	530
333	265	529
334	265	527
335	265	525
336	266	523
337	266	522
338	266	520
339	267	518
340	267	517
341	267	515
342	268	513
343	268	512
344	268	510
345	269	508
346	269	507
347	269	505
348	270	503
349	270	502
350	270	500
351	271	498
352	271	497
353	271	495
354	272	494
355	272	492
356	272	491
357	272	489
358	273	487
359	273	486
360	273	484
361	274	483
362	274	481
363	274	480
364	275	478
365	275	477
366	275	475
367	276	474
368	276	472
369	276	471
370	277	470
371	279	472
372	280	470
373	280	469
374	280	467
375	281	466
376	281	464
377	281	463
378	281	461
379	282	460
380	282	459
381	282	457
382	283	456
383	283	455
384	283	453
385	284	452
386	284	450
387	284	449
388	285	448
389	285	446
390	285	445
391	286	443
392	286	442
393	286	441
394	287	439
395	287	438
396	287	437
397	288	435
398	288	434
399	288	433
400	289	431
401	289	430
402	289	429
403	290	427
404	290	426
405	290	425
406	290	423
407	291	422
408	291	421
409	292	420
410	293	420
411	293	419
412	293	417
413	294	416
414	294	415
415	294	414
416	295	412
417	295	411
418	295	410
419	296	409
420	296	408
421	298	408
422	298	407
423	299	406
424	299	405
425	299	403
426	300	402
427	300	401
428	300	400
429	300	398
430	301	397
431	301	396
432	301	395
433	302	394
434	302	393
435	303	3924436	303	391
437	304	390
438	304	3894439	305	389
440	306	389
441	307	388
442	307	387
443	308	386
444	308	384
445	308	383
446	309	382
